Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
MSFT,MICROSOFT CORP,Equity,7.95,189.8,"1,721,113.00","326,667,247.40","326,667,247.40",Information Technology,2588173,US5949181045,NASDAQ,United States,USD,USD,1
ADBE,ADOBE INC,Equity,7.92,397.16,"820,222.00","325,759,369.52","325,759,369.52",Information Technology,2008154,US00724F1012,NASDAQ,United States,USD,USD,1
CRM,SALESFORCE.COM INC,Equity,7.76,174.56,"1,827,320.00","318,976,979.20","318,976,979.20",Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.,United States,USD,USD,1
ORCL,ORACLE CORP,Equity,6.74,54.18,"5,112,002.00","276,968,268.36","276,968,268.36",Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.,United States,USD,USD,1
INTU,INTUIT INC,Equity,5.62,291.25,"793,458.00","231,094,642.50","231,094,642.50",Information Technology,2459020,US4612021034,NASDAQ,United States,USD,USD,1
NOW,SERVICENOW INC,Equity,4.56,388.83,"482,224.00","187,503,157.92","187,503,157.92",Information Technology,B80NXX8,US81762P1021,New York Stock Exchange Inc.,United States,USD,USD,1
ATVI,ACTIVISION BLIZZARD INC,Equity,4.03,72,"2,301,299.00","165,693,528.00","165,693,528.00",Communication,2575818,US00507V1098,NASDAQ,United States,USD,USD,1
ADSK,AUTODESK INC,Equity,3.9,234.15,"684,052.00","160,170,775.80","160,170,775.80",Information Technology,2065159,US0527691069,NASDAQ,United States,USD,USD,1
EA,ELECTRONIC ARTS INC,Equity,2.67,121.07,"907,719.00","109,897,539.33","109,897,539.33",Communication,2310194,US2855121099,NASDAQ,United States,USD,USD,1
WDAY,WORKDAY INC CLASS A,Equity,2.23,179.76,"509,854.00","91,651,355.04","91,651,355.04",Information Technology,B8K6ZD1,US98138H1014,NASDAQ,United States,USD,USD,1
SNPS,SYNOPSYS INC,Equity,2.16,189.62,"467,362.00","88,621,182.44","88,621,182.44",Information Technology,2867719,US8716071076,NASDAQ,United States,USD,USD,1
SPLK,SPLUNK INC,Equity,2.15,183.93,"479,827.00","88,254,580.11","88,254,580.11",Information Technology,B424494,US8486371045,NASDAQ,United States,USD,USD,1
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,1.96,92.56,"872,322.00","80,742,124.32","80,742,124.32",Information Technology,2302232,US1273871087,NASDAQ,United States,USD,USD,1
ANSS,ANSYS INC,Equity,1.85,285.27,"266,065.00","75,900,362.55","75,900,362.55",Information Technology,2045623,US03662Q1058,NASDAQ,United States,USD,USD,1
PANW,PALO ALTO NETWORKS INC,Equity,1.73,233.56,"304,534.00","71,126,961.04","71,126,961.04",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1
