Date,Open,High,Low,Close,Adj Close,Volume
2001-07-17,50.750000,50.750000,50.639999,50.639999,48.749062,300
2001-07-18,48.730000,48.730000,48.430000,48.430000,46.621578,200
2001-07-19,47.750000,47.750000,47.750000,47.750000,45.966976,100
2001-07-20,46.849998,47.119999,46.849998,47.119999,45.360489,50100
2001-07-23,47.119999,47.119999,47.119999,47.119999,45.360489,0
2001-07-24,46.119999,46.549999,46.119999,46.549999,44.811775,50000
2001-07-25,46.880001,46.880001,46.880001,46.880001,45.129459,5000
2001-07-26,47.700001,48.750000,47.700001,48.750000,46.929626,100000
2001-07-27,48.900002,49.500000,48.900002,49.400002,47.555355,30400
2001-07-30,48.400002,48.400002,48.400002,48.400002,46.592701,300
2001-07-31,48.689999,49.299999,48.689999,49.299999,47.459095,5200
2001-08-01,49.650002,49.950001,48.900002,48.900002,47.074036,20700
2001-08-02,50.349998,50.389999,49.700001,49.700001,47.844154,51400
2001-08-03,49.700001,49.700001,49.000000,49.000000,47.170292,400
2001-08-06,48.500000,48.549999,48.400002,48.400002,46.592701,1100
2001-08-07,48.400002,48.400002,48.400002,48.400002,46.592701,0
2001-08-08,47.099998,47.500000,46.150002,46.150002,44.426716,125100
2001-08-09,45.200001,45.700001,45.200001,45.700001,43.993523,600
2001-08-10,45.060001,45.060001,43.450001,44.299999,42.645794,2200
2001-08-13,44.299999,44.299999,44.299999,44.299999,42.645794,0
2001-08-14,45.150002,45.150002,45.150002,45.150002,43.464058,200
2001-08-15,44.500000,44.500000,43.450001,43.450001,41.827530,1500
2001-08-16,41.860001,42.650002,41.860001,42.650002,41.057407,196200
2001-08-17,41.750000,41.849998,41.650002,41.650002,40.094757,300
2001-08-20,41.650002,41.650002,41.650002,41.650002,40.094757,0
2001-08-21,42.250000,42.250000,40.250000,40.250000,38.747028,101100
2001-08-22,40.099998,40.099998,40.090000,40.099998,38.602619,700
2001-08-23,41.750000,41.750000,40.349998,40.349998,38.843292,1100
2001-08-24,40.349998,40.349998,40.349998,40.349998,38.843292,0
2001-08-27,42.049999,42.950001,42.049999,42.950001,41.346214,5100
2001-08-28,41.630001,41.630001,41.630001,41.630001,40.075489,97900
